BEGIN_DATE_GMT,Actual_Load,Predicted_Load,Predicted_Load_lower,Predicted_Load_upper,Temperature_Norm_Load,Temperature_Norm_lower,Temperature_Norm_upper
2020-11-21 15:00:00,10092.0,10190.428729809839,8584.868785879054,12007.824492008836,10190.428729809839,8386.922827624858,11613.028397404622
2020-11-21 16:00:00,10228.0,10309.101494119499,8701.88324624449,12084.533500785878,10309.101494119499,8555.764806672343,11671.067509525115
2020-11-21 17:00:00,10265.0,10327.261780874458,8773.768837695483,12180.721151748627,10327.261780874458,8627.59172372613,11788.308800112321
2020-11-21 18:00:00,10295.0,10309.224376509655,8861.940546237796,12001.189630655563,10309.224376509655,8646.082044835432,11661.27121487587
2020-11-21 19:00:00,10285.0,10276.62448149936,8720.073639313949,11978.25355550072,10276.62448149936,8528.236466229928,11685.501251302476
2020-11-21 20:00:00,10251.0,10278.190610233283,8777.161384368716,12050.849819971063,10278.190610233283,8608.29994978567,11697.607199853099
2020-11-21 21:00:00,10219.0,10293.773233123406,8854.522290510673,12178.45411986566,10293.773233123406,8542.109564861705,11686.688821394257
2020-11-21 22:00:00,10265.0,10288.473591404556,8764.21307633397,12050.165167410703,10288.473591404556,8724.749298275636,11768.801187807418
2020-11-21 23:00:00,10543.0,10293.670973006141,8709.931244944006,12101.04060003029,10293.670973006141,8566.667158218741,11806.989017077674
2020-11-22 00:00:00,10812.0,10324.420555232175,8879.285176245548,12193.052335012799,10324.420555232175,8685.932406010083,11797.502604219215
2020-11-22 01:00:00,10715.0,10358.00006499035,8865.178722038765,11978.677657860842,10358.00006499035,8661.664011946426,11771.655126030864
2020-11-22 02:00:00,10528.0,10318.942434083423,8746.363849767626,12191.290109581565,10318.942434083423,8641.13839911385,11680.990228718094
2020-11-22 03:00:00,10351.0,10168.556621455662,8670.498520226023,11958.396171364755,10168.556621455662,8420.852370889219,11650.257882150698
2020-11-22 04:00:00,10184.0,9894.813833802102,8387.51352376131,11755.922209899243,9894.813833802102,8273.80130746215,11291.218238161511
2020-11-22 05:00:00,9954.0,9627.73018322961,8122.60419946895,11492.622316622224,9627.73018322961,7927.65282601919,11005.715054497714
2020-11-22 06:00:00,9766.0,9376.614342531568,7854.789942107024,11128.090688416089,9376.614342531568,7524.3533993587525,10659.346372922888
2020-11-22 07:00:00,9622.0,9147.948623650418,7649.43997982386,10968.859882910401,9147.948623650418,7384.222471150486,10463.788444927686
2020-11-22 08:00:00,9552.0,9032.297833567545,7493.558859061722,10790.640856864748,9032.297833567545,7321.7128980424895,10349.321904426915
2020-11-22 09:00:00,9451.0,8973.74117105313,7451.771156132468,10766.059801109743,8973.74117105313,7218.269602977819,10280.232484317214
2020-11-22 10:00:00,9434.0,8996.271865785773,7471.271677119097,10825.357747479618,8996.271865785773,7174.107747299174,10371.12816940722
2020-11-22 11:00:00,9488.0,9098.61785670555,7614.095929309162,10784.6558987086,9098.61785670555,7285.2276684119215,10363.17857999497
