,Region,Year,pop_high,pop_low,pop_medium,pct_pop_high,pct_pop_low,pct_pop_medium
113,16,2038,109855,71930,89520,0.021709466062346906,0.017293151738811623,0.019772523216480636
114,2,2038,246155,209540,223605,0.04864497399824316,0.0503768527088918,0.04938823786663486
115,6,2038,2467740,2018200,2202720,0.4876730033288968,0.4852083809157461,0.48652069190578895
116,11,2039,2287330,1880035,2043405,0.4419551423249631,0.4473749336683824,0.4444068681288807
117,16,2039,112555,71950,90715,0.02174774127230711,0.017121291080985254,0.019729015560944314
118,2,2039,250525,211040,226140,0.048406138174623414,0.05021928102475508,0.04918171833712117
119,6,2039,2525070,2039345,2237790,0.4878909782281064,0.4852844942258773,0.4866823979730538
120,11,2040,2338900,1900325,2075415,0.44194228618072984,0.44764508287084587,0.44450286673791567
121,16,2040,115250,71935,91935,0.021776838891072348,0.01694517992254709,0.01969021668126629
122,2,2040,255020,212515,228700,0.04818680654231037,0.05006053953207888,0.04898191716980041
123,6,2040,2583150,2060385,2273020,0.4880940683858875,0.48534919767452817,0.4868249994110176
124,11,2041,2391035,1920545,2107565,0.44193026993208495,0.4479102288125118,0.4446039507881325
125,16,2041,118030,71945,93160,0.02181525145390343,0.016779040018284477,0.0196526816754987
126,2,2041,259525,214015,231255,0.04796749244746495,0.049912658968839424,0.048784681202956766
127,6,2041,2641845,2081285,2308340,0.4882869861665467,0.4853980722003643,0.4869586863334121
128,11,2042,2443730,1940875,2139925,0.44192333844506815,0.44818624134339835,0.44470825388743707
129,16,2042,120905,71970,94395,0.02186442087902549,0.01661928964486862,0.019616685456595263
130,2,2042,264110,215500,233880,0.0477615665055988,0.0497631918642377,0.04860374378503629
131,6,2042,2701015,2102165,2343775,0.4884506741703076,0.48543127714749534,0.48707131687093136
132,11,2043,2496965,1961245,2172405,0.44193562374946127,0.4484721609267419,0.4448276921186805
133,16,2043,123805,71970,95680,0.021912137293995732,0.01645716951319066,0.019591703012060528
134,2,2043,268750,217035,236470,0.047565824463966344,0.04962875900090781,0.048420255134426764
135,6,2043,2760545,2122920,2379145,0.4885864144925766,0.4854419105591596,0.4871603497348322
136,11,2044,2550920,1981715,2205185,0.44196724038158336,0.4487696124332948,0.4449584185426161
137,16,2044,126760,71995,96915,0.021962181248635592,0.01630364015367248,0.019555341222191172
138,2,2044,273480,218560,239185,0.047382591731436274,0.04949404253054597,0.048262335966876076
139,6,2044,2820580,2143615,2414650,0.4886879866383448,0.48543270488248674,0.4872239042683167
140,11,2045,2605570,2002250,2238260,0.4420164774158635,0.4490855118475812,0.44511307502008546
141,16,2045,129725,72005,98215,0.02200692652002168,0.016150032353894412,0.019531591800370687
142,2,2045,278330,220105,241860,0.047216711183793676,0.04936744491707422,0.048097650998703396
143,6,2045,2881110,2164145,2450185,0.4887598848803212,0.48539701088145015,0.4872576821808405
144,11,2046,2660870,2022825,2271525,0.44207694940372355,0.4494108054547151,0.44526958949006756
145,16,2046,132765,71990,99500,0.02205757747939033,0.01599401029979605,0.019504220360445832
146,2,2046,283230,221645,244625,0.04705583300936033,0.04924284501872892,0.047951958850995596
147,6,2046,2942155,2184600,2485810,0.4888096401075258,0.4853523392267599,0.487274231298491
